EPIC_ID,count,mean,std,min,25%,50%,75%,max,logstd,logiqr,fname,input_id,id,k2_ra,k2_dec,twomass,ucac,tyc,hip,kp,bmag,vmag,rmag,imag,jmag,hmag,kmag,kepflag,sim_2MASS,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,ID,SP_TYPE,SP_QUAL,SP_BIBCODE,FLUX_V,FLUX_I,FLUX_H,FLUX_K,INPUT
202515599,3273.0,0.9899959300094692,0.01685275932063655,0.951853913,0.974293437,0.997178692,1.004053101,1.100646737,-1.7733289814622748,-1.5263719764786354,../data/hlsp_k2sff_k2_lightcurve_202515599-c02_kepler_v1_llc-default-aper.txt,202515599.0,202515599.0,242.564243,-29.398958,16101541-2923562,None,None,,15.263,,,,,12.958,12.377,12.083,JHK,2MASS J16101541-2923562,,,,,,,,,,,,,,,,,,,,,
202521690,3252.0,1.0045158522564577,0.01701225966663464,0.961301402,0.99191903775,1.0044481235,1.01525543425,1.150415734,-1.7692379970533638,-1.6319662048882444,../data/hlsp_k2sff_k2_lightcurve_202521690-c02_kepler_v1_llc-default-aper.txt,202521690.0,202521690.0,243.326864,-29.374343,16131844-2922275,304-087702,None,,12.617,,,,,10.151,9.431000000000001,9.216000000000001,JHK,2MASS J16131844-2922275,,,,,,,,,,,,,,,,,,,,,
202533810,3318.0,0.99625011710458,0.01335662716760844,0.958312195,0.98729213175,0.995440447,1.0061355355,1.1243568879999999,-1.8743031966080304,-1.7248406463241528,../data/hlsp_k2sff_k2_lightcurve_202533810-c02_kepler_v1_llc-default-aper.txt,202533810.0,202533810.0,243.75251200000002,-29.326361,16150060-2919348,304-088059,None,,13.231,15.883,14.359000000000002,13.699000000000002,12.431,10.356,9.674,9.441,gri,2MASS J16150060-2919348,,,,,,,,,,,,,,,,,,,,,
202539362,3045.0,1.0009742481737285,0.0012243437241773276,0.9973235559999999,1.00008729,1.000872877,1.001837512,1.004447847,-2.912096640558638,-2.7569068614507506,../data/hlsp_k2sff_k2_lightcurve_202539362-c02_kepler_v1_llc-default-aper.txt,202539362.0,202539362.0,242.30684300000001,-29.304342,16091364-2918155,304-086703,6792-1935-1,79142.0,9.157,9.547,9.109,9.33,8.89,8.288,8.08,8.066,gri,2MASS J16091364-2918155,b'HD 144894',16 09 13.6424,-29 18 15.631,9.0,9.0,14.760000228881836,13.949999809265137,90.0,A,O,b'2007A&A...474..653V',Star,b'',b'F3V',C,b'',9.109999656677246,,8.079999923706055,8.065999984741211,2MASS J16091364-2918155
202544694,3142.0,1.0159728660140068,0.0216316061169131,0.992678795,0.99788845375,1.0079628285000002,1.03024782,1.069799038,-1.664911233597581,-1.4899999925240122,../data/hlsp_k2sff_k2_lightcurve_202544694-c02_kepler_v1_llc-default-aper.txt,202544694.0,202544694.0,242.597383,-29.283369,None,304-086966,6792-590-1,79247.0,7.861000000000001,9.731,8.111,8.691,7.1,,,,gri,---,,,,,,,,,,,,,,,,,,,,,
203617398,3101.0,0.9997367573650444,0.0007738493573968394,0.984721145,0.999340627,0.999744403,1.000176612,1.012650198,-3.111343573708244,-3.077801514996035,../data/hlsp_k2sff_k2_lightcurve_203617398-c02_kepler_v1_llc-default-aper.txt,203617398.0,203617398.0,251.71393500000002,-25.528571,None,323-090515,6813-789-1,82140.0,6.507999999999999,7.885,6.723,,,,,,BV,---,,,,,,,,,,,,,,,,,,,,,
203854810,3307.0,1.0044300912349549,0.02362074461686364,0.9604031820000001,0.9873538775,1.0039544470000001,1.019378504,1.107894965,-1.6267064158716231,-1.4945159266866292,../data/hlsp_k2sff_k2_lightcurve_203854810-c02_kepler_v1_llc-default-aper.txt,203854810.0,203854810.0,240.220151,-24.677331,None,327-077689,None,,14.263,17.092,15.427999999999999,14.829,13.415,,,,gri,---,,,,,,,,,,,,,,,,,,,,,
204162631,3291.0,1.0036667405730768,0.0194390403944098,0.918101116,0.9886005175,1.001978494,1.0161276609999998,1.0727971490000001,-1.711325177768741,-1.5602388531381646,../data/hlsp_k2sff_k2_lightcurve_204162631-c02_kepler_v1_llc-default-aper.txt,204162631.0,204162631.0,243.999438,-23.417918,None,333-084024,None,,11.6,13.363,12.169,11.687000000000001,11.085,,,,gri,---,,,,,,,,,,,,,,,,,,,,,
204229583,3253.0,0.9997273295702432,0.022897175741727213,0.932017799,0.9835884570000001,0.998866971,1.014348021,1.268459449,-1.6402180825258503,-1.5120198247137835,../data/hlsp_k2sff_k2_lightcurve_204229583-c02_kepler_v1_llc-default-aper.txt,204229583.0,204229583.0,241.990692,-23.156582,None,335-082164,None,,13.084000000000001,15.854000000000001,14.277999999999999,13.637,12.209000000000001,,,,gri,---,,,,,,,,,,,,,,,,,,,,,
204251947,3243.0,0.9937643242229413,0.06379129708387354,0.8520865409999999,0.9376504575,1.0002477790000002,1.048147277,1.208723258,-1.1952385671450123,-0.9566502223723414,../data/hlsp_k2sff_k2_lightcurve_204251947-c02_kepler_v1_llc-default-aper.txt,204251947.0,204251947.0,242.98469,-23.067954,None,335-082688,None,,12.332,14.581,13.038,12.409,11.677999999999999,,,,gri,---,,,,,,,,,,,,,,,,,,,,,
